Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
1/27/2011 0:00,0.019,228,13.41666667,,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.019,240,12.74583333,9.356359649,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.014,240,9.391666667,,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.015,240,10.0625,,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.007,240,4.695833333,,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.015,240,10.0625,,so2,Rajawada chowk,2011,january
1/30/2011 0:00,0.013,228,9.179824561,,so2,Rajawada chowk,2011,january
2/4/2011 0:00,0.016,228,11.29824561,7.414473684,so2,Udyoga Bhawan,2011,february
2/4/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,february
2/4/2011 0:00,0.007,228,4.942982456,,so2,Udyoga Bhawan,2011,february
2/4/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,february
2/4/2011 0:00,0.008,228,5.649122807,,so2,Udyoga Bhawan,2011,february
2/4/2011 0:00,0.008,228,5.649122807,,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.015,228,10.59210526,10.59210526,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,february
2/7/2011 0:00,0.015,228,10.59210526,,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.013,228,9.179824561,10.0625,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.01,240,6.708333333,,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.013,228,9.179824561,,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.018,216,13.41666667,,so2,Udyoga Bhawan,2011,february
2/11/2011 0:00,0.02,228,14.12280702,,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.013,228,9.179824561,9.83365822,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.021,228,14.82894737,,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,february
2/14/2011 0:00,0.01,216,7.453703704,,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.01,228,7.061403509,8.146113548,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.009,240,6.0375,,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.011,216,8.199074074,,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.01,216,7.453703704,,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.012,216,8.944444444,,so2,Udyoga Bhawan,2011,february
2/18/2011 0:00,0.015,216,11.18055556,,so2,Udyoga Bhawan,2011,february
